Código	Valor
99000	Actividades de organizaciones y órganos extraterritoriales
93210	Actividades de parques de atracciones y parques temáticos
84300	Actividades de planes de seguridad social de afiliación obligatoria
59120	Actividades de post producción de películas, videos y programas de televisión
59110	Actividades de producción cinematográfica
60201	Actividades de programación y difusión de televisión abierta
39000	Actividades de Saneamiento y otros Servicios de Gestión de Desechos
80201	Actividades de servicios de sistemas de seguridad
64990	Actividades de servicios financieros, excepto la financiacion de planes de seguros y de pensiones n.c.p.
94200	Actividades de sindicatos
64200	Actividades de sociedades de cartera
60202	Actividades de suscripción y difusión de televisión por cable y/o suscripción
61900	Actividades de telecomunicación n.c.p.
98100	Actividades indiferenciadas de producción de bienes de los hogares privados para uso propio
98200	Actividades indiferenciadas de producción de servicios de los hogares privados para uso propio
68109	Actividades inmobiliarias realizadas con bienes propios o arrendados n.c.p.
69100	Actividades jurídicas
80202	Actividades para la prestación de sistemas de seguridad
01621	Actividades para mejorar la reproducción, el crecimiento y el rendimiento de los animales y sus productos
56107	Actividades varias de restaurantes
75000	Actividades veterinarias
68200	Actleidades Inmobiliarias Realizadas a Cambio de una Retribución o por Contrata
03220	Acuicultura de agua dulce
03210	Acuicultura marítima
66110	Administración de mercados financieros (Bolsa de Valores)
53201	Agencia privada de correo y encomiendas
52291	Agencias de tramitaciones aduanales
84111	Alcaldías Municipales
47119	Almacenes (venta de diversos artículos)
55900	Alojamiento n.c.p.
52109	Alquiler de bodegas para almacenamiento y depósito n.c.p.
77220	Alquiler de cintas de video y discos
51202	Alquiler de equipo de aerotransporte con operadores para el propósito de transportar carga
77102	Alquiler de equipo de transporte acuático
50212	Alquiler de equipo de transporte de pasajeros por vías de navegación interior con conductor
77103	Alquiler de equipo de transporte por vía aérea
77101	Alquiler de equipo de transporte terrestre
52103	Alquiler de instalaciones con refrigeración para almacenamiento y conservación de alimentos y otros productos
52101	Alquiler de instalaciones de almacenamiento en zonas francas
77300	Alquiler de maquinaria y equipo
77290	Alquiler de otros efectos personales y enseres domésticos
52102	Alquiler de silos para conservación y almacenamiento de granos
49235	Alquiler de vehículos de carga con conductor
77210	Alquiler y arrendamiento de equipo de recreo y deportivo
77400	Arrendamiento de productos de propiedad intelectual
64910	Arrendamientos financieros
16100	Aserradero y acepilladura de madera
64920	Asociaciones cooperativas de ahorro y crédito dedicadas a la intermediación financiera
64190	Bancos
36000	Captación, tratamiento y suministro de agua
01700	Caza ordinaria y mediante trampas, repoblación de animales de caza y servicios conexos
93298	Centros vacacionales
86201	Clínicas médicas
56108	Comedores
61309	Comunicacion via satélite n.c.p.
14104	Confección de prendas a medida
42100	Construcción de carreteras, calles y caminos
41002	Construcción de edificios no residenciales
41001	Construcción de edificios residenciales
42900	Construcción de obras de ingeniería civil n.c.p.
42200	Construcción de proyectos de servicio público
30120	Construcción y reparación de embarcaciones de recreo
62020	Consultorías y gestión de servicios informáticos
01612	Control de plagas
23960	Corte, tallado y acabado de la piedra
01491	Cría de abejas apicultura para la obtención de miel y otros productos apícolas
01460	Cría de aves de corral y producción de huevos
01420	Cría de caballos y otros equinos
01450	Cría de cerdos
01492	Cría de conejos
01493	Cría de iguanas y garrobos
01494	Cría de mariposas y otros insectos
01440	Cría de ovejas y cabras
01410	Cría y engorde de ganado bovino
01499	Cría y obtención de productos animales n.c.p.
01161	Cultivo de algodón
01291	Cultivo de árboles de hule (caucho) para la obtención de látex
01120	Cultivo de arroz
01132	Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares
01271	Cultivo de café
01140	Cultivo de caña de azucar
01111	Cultivo de cereales excepto arroz y para forrajes
01192	Cultivo de cereales y pastos para la alimentación animal
01230	Cultivo de cítricos
01281	Cultivo de especias y aromáticas
01162	Cultivo de fibras vegetales excepto algodón
01240	Cultivo de frutas de pepita y hueso
01251	Cultivo de frutas ncp
01220	Cultivo de frutas tropicales
01260	Cultivo de frutos oleaginosos
01134	Cultivo de hortalizas de hoja y otras hortalizas ncp
01112	Cultivo de legumbres
01119	Cultivo de otros cereales excepto arroz y forrajeros n.c.p.
01252	Cultivo de otros frutos y nueces de árboles y arbustos
01191	Cultivo de plantas no perennes para la producción de semillas y flores
01272	Cultivo de plantas para la elaboración de bebidas excepto café
01282	Cultivo de plantas para la obtención de productos medicinales y farmacéuticos
01292	Cultivo de plantas para la obtención de productos químicos y colorantes
01114	Cultivo de plantas para la preparación de semillas
01301	Cultivo de plantas y flores ornamentales
01500	Cultivo de productos agrícolas en combinación con la cría de animales
01131	Cultivo de raíces y tubérculos
01113	Cultivo de semillas oleaginosas
01150	Cultivo de tabaco
01133	Cultivo horticola de fruto
15110	Curtido y adobo de cueros; adobo y teñido de pieles
43110	Demolición
78300	Detación de recursos humanos y gestion; gestión de las funciones de recursos humanos
93291	Discotecas y salas de baile
35103	Distribución de energía eléctrica
58120	Edición de directorios y listas de correos
58110	Edición de libros, folletos, partituras y otras ediciones distintas a estas
58130	Edición de periódicos, revistas y otras publicaciones periódicas
58200	Edición de programas informáticos (software)
85420	Educación cultural
85410	Educación deportiva y recreativa
10800	Elaboración de alimentos preparados para animales
14106	Elaboración de artesanías de uso personal confeccionadas especialmente de materiales textiles
11049	Elaboración de bebidas no alcohólicas
10612	Elaboración de cereales para el desayuno y similares
10750	Elaboración de comidas y platos preparados para la reventa en
10792	Elaboración de especies, sazonadores y condimentos
10723	Elaboración de jarabes de azúcar y otros similares
10301	Elaboración de jugos de frutas y hortalizas
10740	Elaboración de macarrones, fideos, y productos farináceos similares
10799	Elaboración de productos alimenticios ncp
10791	Elaboración de productos de café
10108	Elaboración de productos de carne ncp
10309	Elaboración de productos de frutas y hortalizas n.c.p.
12000	Elaboración de productos de tabaco
11043	Elaboración de refrescos
10793	Elaboración de sopas, cremas y consomé
10711	Elaboración de tortillas
11020	Elaboración de vinos
10104	Elaboración y conservación de embutidos y tripas naturales
10106	Elaboración y conservación de grasas y aceites animales
10302	Elaboración y envase de jaleas, mermeladas y frutas deshidratadas
45203	Enderezado y pintura de vehículos automotores
71200	Ensayos y análisis técnicos
85499	Enseñanza formal
85102	Enseñanza preescolar o parvularia
85103	Enseñanza primaria
85212	Enseñanza secundaria de formación general bachillerato
85222	Enseñanza secundaria de formación técnica y profesional integrada con enseñanza primaria
85221	Enseñanza secundaria de formación técnica y profesional
85211	Enseñanza secundaria tercer ciclo (7°, 8* y 9°)
85303	Enseñanza superior integrada a educación secundaria y/o primaria
85302	Enseñanza superior no universitaria
85301	Enseñanza superior universitaria
64192	Entidades dedicadas al envío de remesas
37000	Evacuación de aguas residuales (alcantarillado)
66210	Evaluación de riesgos y daños
08990	Explotación de otras minas y canteras ncp
06200	Extracción de gas natural
05100	Extracción de hulla
02200	Extracción de madera
07100	Extracción de minerales de hierro
07210	Extracción de minerales de uranio y torio
07290	Extracción de minerales metalíferos no ferrosos
08910	Extracción de minerales para la fabricación de abonos y productos quimicos
06100	Extracción de petróleo crudo
08100	Extracción de piedra, arena y arcilla
08930	Extracción de sal
05200	Extracción y aglomeración de lignito
08920	Extracción y aglomeración de turba
20120	Fabricación de abonos y fertilizantes
32905	Fabricación de accesorios para las confecciones y la marroquinería n.c.p.
10401	Fabricación de aceites y grasas vegetales y animales comestibles
10402	Fabricación de aceites y grasas vegetales y animales no comestibles
19202	Fabricación de aceites y lubricantes
13991	Fabricación de adornos, etiquetas y otros artículos para prendas de vestir
30300	Fabricación de aeronaves y naves espaciales
11012	Fabricación de aguardiente y licores
11041	Fabricación de aguas gaseosas
20114	Fabricación de alcohol etilico
10621	Fabricación de almidón
27500	Fabricación de aparatos de uso doméstico
26400	Fabricación de aparatos electrónicos de consumo para audio, video radio y televisión
25200	Fabricación de armas y municiones
16292	Fabricación de artesanías de madera, semillas, materiales trenzables
32903	Fabricación de artesanías de materiales diversos
15123	Fabricación de artesanías principalmente de cuero natural y sintético
13929	Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir n.c.p
25930	Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería
32301	Fabricación de artículos de deporte
23950	Fabricación de artículos de hormigón, cemento y yeso
17091	Fabricación de artículos de papel y cartón de uso personal y doméstico
14200	Fabricación de artículos de piel
32904	Fabricación de artículos de uso personal y domésticos n.c.p.
25992	Fabricación de artículos metálicos de uso personal y/o doméstico
30920	Fabricación de bicicletas y sillones de ruedas para inválidos
10794	Fabricación de bocadillos tostados y/o fritos
30110	Fabricación de buques
27310	Fabricación de cables de fibra óptica
10730	Fabricación de cacao, chocolates y productos de confitería
14301	Fabricación de calcetines, calcetas, medias (panty house) y otros similares
15201	Fabricación de calzado
29200	Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semiremolques
23940	Fabricación de cemento, cal y yeso
11030	Fabricacion de cerveza
28140	Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión
31001	Fabricación de colchones y somier
19201	Fabricación de combustible
26100	Fabricación de componentes electrónicos
26200	Fabricación de computadoras y equipo conexo
22110	Fabricación de cubiertas y cámaras; renovación y recauchutado de cubiertas
13941	Fabricación de cuerdas de henequén y otras fibras naturales (lazos, pitas)
27330	Fabricación de dispositivos de cableados
22201	Fabricacion de envases plasticos
25991	Fabricación de envases y artículos conexos de metal
16230	Fabricacion de envases y recipientes de madera
26300	Fabricación de equipo de comunicaciones
28160	Fabricación de equipo de elevación y manipulación
30990	Fabricación de equipo de transporte ncp
27400	Fabricación de equipo eléctrico de iluminación
28120	Fabricación de equipo hidráulico
26600	Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico
32902	Fabricación de escobas, cepillos, pinceles y similares
20300	Fabricación de fibras artificiales
35200	Fabricación de gas, distribución de combustibles gaseosos por tuberías
20113	Fabricación de gases industriales
25130	Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central
28180	Fabricación de herramientas manuales
13112	Fabricación de hilados
28150	Fabricación de hornos y quemadores
26700	Fabricación de instrumentos de óptica y equipo fotográfico
32200	Fabricación de instrumentos musicales
26510	Fabricación de instrumentos y aparatos para medrr, verificar, ensayar, navegar y de control de procesos industriales
32500	Fabricación de instrumentos y materiales médicos y odontológicos
20231	Fabricación de jabones, detergentes y similares para limpieza
32120	Fabricación de joyas de imitación (fantasía) y artículos conexos
32110	Fabricación de joyas platerías y joyerías
32401	Fabricación de juegos de mesa y de salón
32409	Fabricación de juegos y juguetes n.c.p.
32901	Fabricación de lápices, bolígrafos, sellos y artículos de librería en general
30200	Fabricación de locomotoras y de material rodante
16210	Fabricación de madera laminada, terciada, enchapada y contrachapada, paneles para la construcción
15121	Fabricación de maletas, bolsos de mano y otros artículos de marroquinería
28210	Fabricación de maquinaria agropecuaria y forestal
28299	Fabricación de maquinaria de uso especial ncp
28230	Fabricación de maquinaria metalúrgica
28250	Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco
28260	Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros
28240	Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción
28170	Fabricación de maquinaria y equipo de oficina
28220	Fabricación de máquinas para conformar metales y maquinaria herramienta
28291	Fabricación de máquinas para imprenta
20112	Fabricación de materiales curtientes
20111	Fabricación de materias primas para la fabricación de colorantes
26800	Fabricación de medios magnéticos y ópticos
15122	Fabricación de monturas, accesorios y vainas talabartería
30910	Fabricación de motocicletas
28110	Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas
27100	Fabricación de motores, generadores, transformadores eléctricos, aparatos de distribución y control de electricidad
31009	Fabricación de muebles ncp
31002	Fabricación de muebles y otros productos de madera a medida
28130	Fabricación de otras bombas, compresores, grifos y válvulas
27320	Fabricación de otros hilos y cables eléctricos
22190	Fabricacion de otros productos de caucho
27900	Fabricación de otros tipos de equipo eléctrico
28190	Fabricación de otros tipos de maquinaria de uso general
10712	Fabricación de pan, galletas y barquillos
17020	Fabricación de papel y cartón ondulado y envases de papel y cartón
15202	Fabricación de partes y accesorios de calzado
16220	Fabricación de partes y piezas de carpintería para edificios y construcciones
29300	Fabricación de partes, piezas y accesorios para vehículos automotores 
17010	Fabricación de pasta de madera, papel y cartón
20232	Fabricación de perfumes, cosméticos y productos de higiene y cuidado personal, incluyendo tintes, champú, etc.
27200	Fabricación de pilas, baterías y acumuladores
20220	Fabricación de pinturas, barnices y productos de revestimiento similares; tintas de imprenta y masillas
20210	Fabricación de plaguicidas y otros productos químicos de uso agropecuario
20130	Fabricación de plástico y caucho en formas primarias
14309	Fabricación de prendas de vestir de tejido de punto ncp
14103	Fabricación de prendas de vestir para ambos sexos
14105	Fabricación de prendas de vestir para deportes
14109	Fabricación de prendas y accesorios de vestir n.c.p.
23920	Fabricación de productos de arcilla para la construcción
23932	Fabricación de productos de cerámica y porcelana ncp
23931	Fabricación de productos de cerámica y porcelana no refractaria
19100	Fabricación de productos de hornos de coque
16299	Fabricación de productos de madera, corcho, paja y materiales trenzables npc
17092	Fabricación de productos de papel ncp
10209	Fabricación de productos de pescado ncp
23109	Fabricación de productos de vidrio ncp
25999	Fabricación de productos elaborados de metal ncp
10501	Fabricación de productos lácteos excepto sorbetes y quesos sustitutos
32909	Fabricacion de productos manufacturados n.c.p.
25111	Fabricación de productos metálicos para uso estructural
23990	Fabricación de productos minerales no metálicos ncp
20292	Fabricación de productos pirotécnicos, explosivos y municiones
22209	Fabricación de productos plásticos n.c.p.
22202	Fabricación de productos plasticos para uso personal o doméstico
24200	Fabricación de productos primarios de metales preciosos y metales no ferrosos
20299	Fabricación de productos químicos n.c.p.
23910	Fabricacion de productos refractarios
13999	Fabricación de productos textiles ncp
13921	Fabricación de productos textiles para el hogar
10503	Fabricación de quesos
23102	Fabricación de recipientes y envases de vidrio
13942	Fabricación de redes de diversos materiales
26520	Fabricación de relojes y piezas de relojes
10713	Fabricación de repostería
14302	Fabricación de ropa interior de tejido de punto
14101	Fabricación de ropa interior, para dormir y similares
14102	Fabricación de ropa para niños
10502	Fabricación de sorbetes y helados
20119	Fabricación de sustancias químicas básicas
25120	Fabricación de tanques, depósitos y recipientes de metal
13930	Fabricación de tapices y alfombras
43901	Fabricación de techos y materiales diversos
13910	Fabricación de tejidos de punto y ganchillo
13120	Fabricación de telas
20291	Fabricación de tintas y colores para escribir y pintar; fabricación de cintas para impresoras
30400	Fabricación de vehículos militares de combate
23101	Fabricación de vidrio
29100	Fabricación vehículos automotores
11042	Fabricación y envasado de agua
64300	Fideicomisos, fondos y otras fuentes de financiamiento
25910	Forjado, prensado, estampado y laminado de metales; pulvimetalurgia
24310	Fundición de hierro y acero
24320	Fundición de metales no ferrosos
35101	Generación de energía eléctrica
93110	Gestión de instalaciones deportivas
85101	Guardería educativa
55102	Hoteles
18110	Impresión
24100	Industrias básicas de hierro y acero
10721	Ingenios azucareros
43220	Instalación de fontanería, calefacción y aire acondicionado
33200	Instalación de maquinaria y equipo industrial
43210	Instalaciones eléctricas
87300	Instituciones dedicadas al cuidado de ancianos y discapacitados
87200	Instituciones dedicadas al tratamiento del retraso mental, problemas de salud mental y el uso indebido de sustancias nocivas
64921	Instituciones emisoras de tarjetas de crédito y otros
73200	Investigación de mercados y realización de encuestas de opinión pública
72199	Investigaciones científicas
72100	Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería
72200	Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades científica y desarrollo
01631	Labores post cosecha de preparación de los productos agrícolas para su comercialización o para la industria
96010	Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en SECO
45208	Lavado y pasteado de vehículos (carwash)
81210	Limpieza general de edificios
52240	Manipulación de carga
45403	Mantenimiento y reparación de motocicletas
21001	Manufactura de productos farmacéuticos, sustancias químicas y productos botánicos
22208	Maquila de plásticos
11048	Maquilado de aguas gaseosas
15128	Maquilado de artículos de cuero natural, sintético y de otros materiales
10724	Maquilado de azúcar de caña
21008	Maquilado de medicamentos
15208	Maquilado de partes y accesorios de calzado
14108	Maquilado de prendas de vestir, accesorios y otros
13948	Maquilado de productos trenzables de cualquier material (petates, sillas, etc.)
10102	Matanza y procesamiento de bovinos y porcinos
10103	Matanza y procesamientos de aves de corral
56109	Merenderos ambulantes
10722	Molienda de caña de azúcar para la elaboración de dulces
10611	Molienda de cereales
78100	Obtención y dotación de personal
82300	Organización de convenciones y ferias de negocios
66290	Otras actividades auxiliares de seguros y fondos de pensiones
81290	Otras actividades combinadas de mantenimiento de edificios e instalaciones ncp
87901	Otras actividades de atención en instituciones
58190	Otras actividades de edición
62090	Otras actividades de tecnología de información y servicios de computadora
93190	Otras actividades deportivas
43900	Otras actividades especializadas de construcción
64199	Otras entidades financieras
43290	Otras instalaciones para obras de construcción
86909	Otros Servicio relacionados con la salud ncp
63990	Otros servicios de información n.c.p.
79900	Otros servicios de reservas y actividades relacionadas
85490	Otros tipos de enseñanza n.c.p.
47990	Otros tipos de venta al por menor no realizada, en almacenes, puestos de venta o mercado
96020	Peluquería y otros tratamientos de belleza
03120	Pesca de agua dulce
03110	Pesca marítima de altura y costera
65120	Planes de seguro excepto de vida
65110	Planes de seguros de vida
65200	Planes se seguro
45207	Polarizado de vehículos (mediante la adhesión de papel especial a los vidrios)
96030	Pompas fúnebres y actividades conexas
63120	Portales WEB
56210	Preparación de comida para eventos especiales
13111	Preparación de fibras textiles
43120	Preparación de terreno
64928	Prestamistas y casas de empeño
63110	Procesamiento de datos y actividades relacionadas
10201	Procesamiento y conservación de pescado, crustáceos y moluscos
01199	Producción de cultivos no estacionales ncp
01299	Producción de cultivos perennes ncp
62010	Programación Informática
60900	Programación y transmisión de radio y televisión
01300	Propagación de plantas
73100	Publicidad
56106	Pupusería
38304	Reciclaje de desperdicios y desechos de papel y cartón
38302	Reciclaje de desperdicios y desechos de plástico y caucho
38303	Reciclaje de desperdicios y desechos de vidrio
38305	Reciclaje de desperdicios y desechos metálicos
38309	Reciclaje de desperdicios y desechos no metálicos n.c.p.
38301	Reciclaje de desperdicios y desechos textiles
38120	Recolección de desechos peligrosos
02300	Recolección de productos diferentes a la madera
38110	Recolección y transporte de desechos sólidos proveniente de hogares y sector urbano
84120	Regulación de las actividades de prestación de servicios sanitarios, educativos, culturales y otros servicios sociales, excepto seguridad social
84130	Regulación y facilitación de la actividad económica
45211	Remolque de vehículos automotores
95220	Reparación de aparatos doméstico y equipo de hogar y jardín
95210	Reparación de aparatos electrónicos de consumo
95294	Reparación de bicicletas, sillas de ruedas y rodados n.c.p.
95230	Reparación de calzado y artículos de cuero
95110	Reparación de computadoras y equipo periférico
95120	Reparación de equipo de comunicación
95291	Reparación de Instrumentos musicales
95293	Reparación de joyas y relojes
45206	Reparación de llantas de vehículos automotores
95240	Reparación de muebles y accesorios para el hogar
45201	Reparación mecánica de vehículos automotores
33150	Reparación y mantenimiento de equipo de transporte, excepto vehículos automotores
33140	Reparación y mantenimiento de equipo eléctrico
33130	Reparación y mantenimiento de equipo electrónico y óptico
33190	Reparación y mantenimiento de equipos n.c.p.
33120	Reparación y mantenimiento de maquinaria
33110	Reparación y mantenimiento de productos elaborados de metal
45205	Reparación y reconstrucción de vías, stop y otros artículos de fibra de vidrio
95299	Reparaciones de enseres personales n.c.p.
45204	Reparaciones de radiadores, escapes y silenciadores
45209	Reparaciones de vehículos n.c.p.
45202	Reparaciones eléctricas del automotor y recarga de baterías
18200	Reproducción de grabaciones
87100	Residencias de ancianos con atención de enfermería
56101	Restaurantes
13922	Sacos, bolsas y otros artículos textiles
65199	Seguros generales de todo tipo
68101	Servicio de alquiler y venta de lotes en cementerios
01633	Servicio de beneficiado de plantas textiles (incluye el beneficiado cuando este es realizado en la misma explotación agropecuaria)
01632	Servicio de beneficio de café
13992	Servicio de bordados en artículos y prendas de tela
85104	Servicio de educación preescolar y primaria integrada
82929	Servicio de envase y empaque ncp
56302	Servicio de expendio de bebidas en puestos callejeros, mercados y ferias
56301	Servicio de expendio de bebidas en salones y bares
82190	Servicio de fotocopiado y similares, excepto en imprentas
52211	Servicio de garaje y estacionamiento
61109	Servicio de Internet n.c.p.
61102	Servicio de Internet
81300	Servicio de jardinería
32308	Servicio de maquila de productos deportivos
25118	Servicio de maquila para la fabricación de estructuras metálicas
10409	Servicio de maquilado de aceites
32402	Servicio de maquilado de juguetes y juegos
23108	Servicio de maquilado
10628	Servicio de molienda de maíz húmedo molino para nixtamal
10101	Servicio de rastros y mataderos de bovinos y porcinos
61103	Servicio de telefonia fija
61101	Servicio de telefonia
82110	Servicios administrativos de oficinas
01619	Servicios agrícolas ncp
63910	Servicios de Agencias de Noticias
71103	Servicios de agrimensura, topografía, cartografía, prospección y geofísica y servicios conexos
86901	Servicios de análisis y estudios de diagnóstico
85500	Servicios de apoyo a la enseñanza
03300	Servicios de apoyo a la pesca y acuicultura
02400	Servicios de apoyo a la silvicultura
71101	Servicios de arquitectura y planificación urbana y servicios conexos
10613	Servicios de beneficiado de productos agrícolas ncp (excluye Beneficio de azúcar rama 1072 y beneficio de café rama 0163)
95292	Servicios de cerrajería y copiado de llaves
56292	Servicios de concesión de cafetines y chalet en empresas e
10105	Servicios de conservación y empaque de carnes
01614	Servicios de contratación de mano de obra para la agricultura
53100	Servicios de correo nacional
60100	Servicios de difusiones de radio
82921	Servicios de envase y empaque de productos alimenticios
82922	Servicios de envase y empaque de productos medicinales
71102	Servicios de ingeniería
61202	Servicios de Internet inalámbrico
01622	Servicios de mano de obra pecuaria
32908	Servicios de maquila ncp
31008	Servicios de maquilado de muebles
01611	Servicios de maquinaria agrícola
10107	Servicios de molienda de carne
49234	Servicios de mudanza
86202	Servicios de Odontología
56299	Servicios de preparación de comidas ncp
56291	Servicios de provisión de comidas por contrato
01613	Servicios de riego
96091	Servicios de sauna y otros servicios para la estética corporal n.c.p.
80100	Servicios de seguridad privados
61209	Servicios de telecomunicaciones inalámbrico n.c.p.
61201	Servicios de telefonía celular
60299	Servicios de televisión, incluye televisión por cable
52212	Servicios de terminales para el transporte por vía terrestre
49226	Servicios de transporte de personal
86203	Servicios médicos
96092	Servicios n.c.p.
52220	Servicios para el transporte acuático
52230	Servicios para el transporte aéreo
52290	Servicios para el transporte ncp
52219	Servicios para el transporte por vía terrestre n.c.p.
01629	Servicios pecuarios ncp
74900	Servicios profesionales y científicos ncp
64110	Servicios provistos por el Banco Central de El salvador
18120	Servicios relacionados con la impresión
88900	servicios sociales sin alojamiento ncp
02100	Silvicultura y otras actividades forestales
35300	Suministro de vapor y agua caliente
61301	Telecomunicaciones satelitales
43300	Terminacion y acabado de edificios
64922	Tipos de crédito ncp
35102	Transmision de energía eléctrica
51100	Transporte aéreo de pasajeros
49233	Transporte de carga internacional
50120	Transporte de carga marítimo y de cabotaje
49120	Transporte de carga por ferrocarril
51201	Transporte de carga por vía aérea
50220	Transporte de carga por vías de navegación interiores
49231	Transporte de carga urbano
49214	Transporte de pasajeros interdepartamental mediante buses
49212	Transporte de pasajeros interdepartamental mediante microbuses
50110	Transporte de pasajeros maritime y de cabotaje
49222	Transporte de pasajeros mediante taxis y autos con chofer
49225	Transporte de pasajeros para excursiones
49229	Transporte de pasajeros por vía terrestre ncp
50211	Transporte de pasajeros por vías de navegación interiores
49211	Transporte de pasajeros urbanos e interurbano mediante buses
49213	Transporte de pasajeros urbanos e interurbano mediante microbuses
49223	Transporte escolar
49221	Transporte internacional de pasajeros
49110	Transporte interurbano de pasajeros por ferrocarril
49232	Transporte nacional de carga
49300	Transporte por oleoducto o gasoducto
01640	Tratamiento de semillas para la propagación
38210	Tratamiento y eliminación de desechos inicuos
38220	Tratamiento y eliminación de desechos peligrosos
25920	Tratamiento y revestimiento de metales
46100	Venta al por mayor a cambio de retribución o por contrata
46391	Venta al por mayor de abarrotes (vinos, licores, productos alimenticios envasados, etc.)
46393	Venta al por mayor de agua purificada
46392	Venta al por mayor de aguas gaseosas
46301	Venta al por mayor de alimentos
46298	Venta al por mayor de animales porcinos, ovinos, caprino, canículas, apícolas, avícolas vivos
46903	Venta al por mayor de armas de fuego, municiones y accesorios
46473	Venta al por mayor de artículos de aluminio para el hogar y para otros usos
46494	Venta al por mayor de artículos de bazar y similares
46632	Venta al por mayor de artículos de ferretería y pinturerías
46417	Venta al por mayor de artículos de marroquinería y talabartería
46495	Venta al por mayor de artículos de óptica
46418	Venta al por mayor de articulos de peleteria
46902	Venta al por mayor de artículos diversos para consumo humano
46906	Venta al por mayor de artículos promocionales diversos
46412	Venta al por mayor de articulos textiles excepto confecciones para el hogar
46379	Venta al por mayor de azúcar
46302	Venta al por mayor de bebidas
46500	Venta al por mayor de bicicletas, partes, accesorios y otros
46293	Venta al por mayor de café oro y uva
46416	Venta al por mayor de calzado
46475	Venta al por mayor de cámaras fotográficas, accesorios y materiales
46294	Venta al por mayor de caña de azúcar
46373	Venta al por mayor de carne bovina y porcina, productos de carne y embutidos
46395	Venta al por mayor de cerveza y licores
46901	Venta al por mayor de cohetes y otros productos pirotécnicos
46472	Venta al por mayor de colchones, almohadas, cojines, etc.
46612	Venta al por mayor de combustibles para automotores, aviones, barcos, maquinaria y otros
46510	Venta al por mayor de computadoras, equipo periférico y programas informáticos
46413	Venta al por mayor de confecciones textiles para el hogar
46474	Venta al por mayor de depósitos y otros artículos plásticos para el hogar y otros usos, incluyendo los desechables de durapax y no desechables
46493	Venta al por mayor de electrodomésticos y artículos del hogar excepto bazar; artículos de iluminación
46499	Venta al por mayor de enseres domésticos y de uso personal n.c.p.
46595	Venta al por mayor de equipamiento para uso médico, odontológico, veterinario y servicios conexos
46520	Venta al por mayor de equipos de comunicación
46905	Venta al por mayor de exhibidores publicitarios y rótulos
